@relation car_v3-weka.filters.unsupervised.attribute.Remove-R1

@attribute buying numeric
@attribute maint numeric
@attribute doors numeric
@attribute persons numeric
@attribute lug_boot numeric
@attribute safety numeric
@attribute class {unacc,acc,good,vgood}

@data
12.2,2.48,3,4,173,3,good
11.37,2.48,5,2,376,3,unacc
50.66,2.48,5,6,662,3,acc
13.01,2.48,2,4,580,1,unacc
30.45,2.48,2,2,215,2,unacc
20.51,2.48,5,6,210,3,acc
19.82,2.48,2,2,376,1,unacc
52.8,2.48,2,2,435,3,unacc
29.37,2.48,3,4,235,2,unacc
19.93,2.48,4,2,192,1,unacc
31.12,2.48,2,2,629,2,unacc
31.28,2.48,2,2,629,1,unacc
45.15,2.49,4,4,578,3,acc
30.75,2.49,3,6,348,3,acc
44.24,2.49,4,4,432,3,acc
11.86,2.49,3,6,421,3,vgood
29.98,2.49,5,2,199,2,unacc
11.48,2.5,3,2,182,2,unacc
10.73,2.5,3,4,392,2,acc
12.61,2.5,5,2,642,1,unacc
48.48,2.5,3,2,139,3,unacc
50.98,2.5,4,4,222,1,unacc
13.65,2.5,5,6,183,1,unacc
19.92,2.5,5,2,437,3,unacc
16.89,2.5,4,6,221,1,unacc
30.43,2.51,3,2,391,2,unacc
11.53,2.51,5,2,192,1,unacc
11.32,2.51,4,4,175,3,good
9.81,2.51,5,6,386,3,vgood
12.32,2.51,3,4,577,1,unacc
23.27,2.51,4,2,407,1,unacc
30.71,2.52,2,6,247,1,unacc
10,2.52,2,6,208,1,unacc
20.85,2.52,3,4,252,1,unacc
12.5,2.52,2,4,167,3,good
28.46,2.52,2,2,442,2,unacc
27.87,2.52,2,6,369,3,acc
29.65,2.52,2,6,199,2,unacc
22.05,2.52,3,2,563,2,unacc
19.27,2.52,4,6,618,1,unacc
49.18,2.52,2,4,401,1,unacc
18.75,2.52,4,2,155,2,unacc
46.3,2.52,5,6,368,3,acc
29.03,2.52,5,4,605,1,unacc
19.96,2.53,5,2,585,3,unacc
20.58,2.53,2,2,466,2,unacc
29.3,2.53,4,2,579,2,unacc
51.49,2.53,4,6,193,2,unacc
13.01,2.53,5,4,585,3,vgood
54.94,2.54,2,4,608,1,unacc
46.39,2.54,3,4,588,2,acc
31.21,2.54,4,2,218,3,unacc
50.78,2.54,5,2,363,1,unacc
28.6,2.54,2,4,403,3,acc
19.15,2.54,3,6,648,2,acc
50.97,2.54,4,6,208,3,acc
50.41,2.54,3,4,401,1,unacc
52.24,2.54,4,4,581,2,acc
31.81,2.54,5,2,419,3,unacc
22.12,2.54,3,2,166,1,unacc
51.31,2.55,2,2,438,1,unacc
53.02,2.55,5,2,162,1,unacc
21.21,2.55,5,6,397,3,vgood
31.71,2.55,4,4,386,1,unacc
19.39,2.55,5,4,553,2,acc
51.85,2.55,4,2,211,1,unacc
30.29,2.55,5,6,664,3,acc
17.89,2.55,5,6,438,1,unacc
21.98,2.55,2,6,445,3,acc
20.27,2.55,2,4,638,2,acc
28.51,2.55,3,4,228,3,acc
27.7,2.56,4,6,437,1,unacc
46.23,2.56,2,6,456,2,unacc
30.97,2.56,5,6,210,3,acc
27.86,2.56,4,2,338,2,unacc
49.64,2.56,3,6,392,3,acc
13.01,2.56,3,4,229,2,acc
27.89,2.56,5,4,388,1,unacc
51.3,2.56,3,2,574,2,unacc
58.75,2.57,5,4,213,2,unacc
48.22,2.57,3,6,221,2,unacc
49.34,2.57,2,4,186,2,unacc
13.96,2.57,5,4,372,3,vgood
10.3,2.57,4,6,403,1,unacc
21.03,2.57,4,2,391,3,unacc
20.51,2.57,5,4,412,3,vgood
20.71,2.57,5,2,369,2,unacc
19.49,2.57,5,4,235,1,unacc
28.63,2.58,2,4,190,3,acc
11.61,2.58,2,4,363,1,unacc
30.43,2.58,5,6,210,2,unacc
56.36,2.58,2,2,638,2,unacc
19.24,2.58,2,2,624,2,unacc
50.51,2.58,4,2,202,3,unacc
20.91,2.59,5,6,637,3,vgood
31.04,2.59,4,6,380,2,acc
19.67,2.59,5,2,160,3,unacc
11.54,2.59,5,6,240,3,good
45.39,2.59,2,2,214,1,unacc
10.86,2.61,3,2,551,2,unacc
45,2.61,3,4,186,1,unacc
29.49,2.61,2,4,615,1,unacc
11.71,2.61,5,4,223,3,good
29.44,2.61,3,6,234,3,acc
29.32,2.62,3,6,411,1,unacc
29.97,2.62,5,2,396,1,unacc
20.87,2.62,2,6,378,1,unacc
28.76,2.62,4,2,424,3,unacc
23.25,2.63,5,2,179,2,unacc
10.32,2.64,2,6,563,3,vgood
29.99,2.64,4,6,369,3,acc
30.36,2.64,3,2,426,3,unacc
21.76,2.64,2,6,215,3,unacc
28.24,2.64,3,4,637,2,acc
11.72,2.64,4,2,210,2,unacc
21.32,2.65,2,4,440,3,acc
19.26,2.65,4,2,176,3,unacc
31.72,2.65,3,4,380,2,unacc
22.25,2.65,5,6,256,2,acc
13.93,2.65,2,4,184,2,acc
52.87,2.66,2,2,158,3,unacc
28.98,2.66,2,6,182,3,unacc
31.25,2.66,2,4,356,1,unacc
47.06,2.66,4,6,578,1,unacc
11.17,2.67,3,6,594,3,vgood
41.28,2.67,3,2,436,2,unacc
10.38,2.67,2,4,157,1,unacc
30.1,2.67,3,4,407,3,acc
10.75,2.68,5,2,245,3,unacc
12.34,2.68,3,2,624,1,unacc
30.43,2.68,5,4,399,2,acc
52.09,2.68,4,2,461,3,unacc
30.43,2.69,4,2,589,1,unacc
18.88,2.69,2,6,184,2,unacc
49.77,2.69,2,4,610,2,acc
11.54,2.7,5,6,597,2,good
11.33,2.7,3,6,472,2,good
60.17,2.7,2,2,198,2,unacc
31.2,2.7,4,6,222,2,unacc
50.37,2.7,4,2,251,2,unacc
30.31,2.73,5,2,633,1,unacc
12.73,2.73,4,6,189,1,unacc
17.52,2.74,4,4,625,1,unacc
10.74,2.74,3,4,584,3,vgood
22.27,2.74,4,6,411,2,acc
19.73,2.75,4,2,635,1,unacc
31.33,2.76,4,2,594,3,unacc
13.91,2.76,5,6,244,2,acc
13.42,2.77,2,4,410,3,good
27.32,2.77,2,2,347,3,unacc
29.92,2.78,4,4,375,2,acc
28.65,2.8,5,4,235,2,unacc
17.81,2.81,4,4,248,3,acc
19.41,2.8,2,4,360,1,unacc
11.41,2.8,5,2,620,2,unacc
28.6,2.8,4,2,184,1,unacc
17.73,2.7,2,6,615,1,unacc
45.04,2.6,5,2,602,2,unacc
50.66,2.6,4,2,419,2,unacc
50.26,2.5,5,4,564,3,acc
17.38,2.87,3,2,603,2,unacc
31.33,2.88,5,6,371,1,unacc
10.01,2.88,3,2,221,2,unacc
31.31,2.96,3,6,616,3,acc
28.03,2.97,4,2,630,3,unacc
22.75,2.97,2,4,165,3,acc
28.06,2.97,3,2,581,1,unacc
13.6,3,4,6,412,1,unacc
19.5,3,4,6,212,2,unacc
12.4,3.02,2,4,376,3,acc
53.69,3.02,4,4,270,1,unacc
46.13,3.03,4,6,440,2,unacc
49.62,3.03,5,4,234,2,unacc
30.33,3.04,2,2,176,3,unacc
28.62,3.04,4,6,389,2,acc
28.69,3.05,5,2,560,2,unacc
45.45,3.06,5,6,187,3,unacc
20.32,3.06,2,2,381,1,unacc
12.03,3.06,3,6,232,2,acc
12.29,3.06,3,6,423,2,acc
18.06,3.07,2,4,412,1,unacc
20.28,3.07,4,4,212,1,unacc
42.5,3.08,3,2,449,3,unacc
20.39,3.08,3,6,195,1,unacc
29.05,3.08,5,6,190,2,unacc
11.58,3.08,4,6,165,2,acc
45.91,3.09,4,2,645,2,unacc
19.71,3.09,5,4,343,3,acc
26.99,3.09,4,6,205,1,unacc
12.87,3.1,2,6,370,3,acc
19.58,3.1,5,6,653,3,acc
11.04,3.11,4,2,407,1,unacc
54.57,3.11,2,6,369,1,unacc
11.55,3.11,4,4,583,2,acc
30.89,3.11,4,2,187,2,unacc
27.73,3.12,2,6,237,3,unacc
17.56,3.12,3,2,173,3,unacc
29.48,3.12,5,4,221,1,unacc
50.3,3.13,4,6,232,1,unacc
44.73,3.13,2,6,204,3,unacc
31.3,3.14,4,4,450,3,acc
52.58,3.14,4,2,186,3,unacc
47.71,3.14,3,2,190,1,unacc
30.3,3.14,3,4,594,3,acc
20.31,3.14,5,4,411,1,unacc
49.43,3.14,5,4,663,1,unacc
10.93,3.16,4,6,406,2,acc
12.74,3.16,4,4,584,3,vgood
26.02,3.16,3,2,429,2,unacc
50.85,3.17,3,4,377,2,unacc
11.06,3.17,5,2,217,1,unacc
48.84,3.17,5,6,251,2,unacc
22.54,3.17,4,4,394,1,unacc
12.68,3.18,2,6,169,3,unacc
19.99,3.18,4,4,127,2,unacc
54.37,3.18,4,6,640,2,unacc
55.64,3.18,5,2,180,3,unacc
46.58,3.19,5,4,394,2,unacc
20.4,3.19,2,6,200,2,unacc
29.3,3.2,2,2,164,2,unacc
10,3.2,3,2,194,3,unacc
45.6,3.2,5,6,617,3,unacc
21.15,3.2,2,4,380,2,unacc
12.28,3.2,3,4,264,3,acc
11.2,3.2,3,4,629,3,vgood
56.33,3.2,2,6,212,2,unacc
20.75,3.21,4,4,589,1,unacc
12.1,3.21,2,4,265,3,acc
53.15,3.21,4,6,596,3,unacc
13.24,3.21,4,2,573,1,unacc
27.14,3.21,2,4,191,3,acc
20.88,3.21,3,2,384,2,unacc
12.88,3.21,2,4,200,2,acc
20.99,3.22,4,6,572,2,acc
10.72,3.22,2,4,605,3,vgood
18.14,3.22,5,6,201,2,unacc
11.1,3.22,4,2,590,2,unacc
20.06,3.22,2,6,398,3,acc
9.43,3.22,5,4,558,2,acc
47.37,3.22,3,2,619,3,unacc
49.73,3.23,5,2,214,2,unacc
31.47,3.23,4,6,568,3,acc
29.05,3.23,2,4,584,3,acc
20.75,3.23,3,2,638,3,unacc
47.58,3.23,5,6,418,1,unacc
11.71,3.23,2,6,206,1,unacc
20.44,3.23,3,6,606,1,unacc
51.43,3.23,5,2,399,2,unacc
53.66,3.23,3,6,399,1,unacc
11.56,3.23,3,2,600,3,unacc
32.04,3.23,4,2,161,3,unacc
33.02,3.24,5,2,407,2,unacc
59.03,3.24,2,4,380,3,unacc
48.33,3.24,4,6,229,2,unacc
11.16,3.24,5,2,451,3,unacc
49.41,3.25,3,6,613,2,unacc
43.26,3.25,5,6,579,2,unacc
19.4,3.25,2,6,565,2,acc
52.28,3.25,3,6,540,3,unacc
19.03,3.25,3,4,588,3,acc
11.94,3.25,5,6,394,3,vgood
13.55,3.26,5,6,412,1,unacc
30.04,3.26,3,2,604,2,unacc
21.35,3.26,4,2,600,3,unacc
29.58,3.26,5,2,437,1,unacc
30.71,3.26,3,2,398,1,unacc
31.37,3.26,5,6,597,1,unacc
19.57,3.26,3,2,378,3,unacc
11.59,3.26,2,6,616,3,vgood
43.04,3.27,3,6,645,1,unacc
46.66,3.27,5,2,635,1,unacc
11.59,3.27,2,4,199,1,unacc
20.23,3.27,4,4,422,3,acc
52.11,3.27,5,4,362,1,unacc
57.92,3.27,2,4,212,3,unacc
11.04,3.27,5,6,402,2,acc
27.16,3.28,4,4,593,1,unacc
30.34,3.28,3,2,202,1,unacc
13.7,3.28,5,4,327,3,vgood
28.9,3.28,3,4,430,3,acc
31.94,3.28,2,6,420,3,acc
28.71,3.28,3,2,323,3,unacc
52.59,3.28,3,4,209,2,unacc
52.5,3.28,4,4,185,3,unacc
30.61,3.28,5,4,637,1,unacc
28.74,3.28,3,6,423,1,unacc
53.71,3.28,3,6,224,2,unacc
18.19,3.28,5,2,213,1,unacc
31.96,3.28,4,2,396,1,unacc
11.43,3.28,4,4,416,2,acc
19.44,3.29,4,2,396,3,unacc
11.27,3.29,4,6,587,3,vgood
18.16,3.29,2,6,176,1,unacc
53.83,3.29,5,2,253,1,unacc
28.28,3.29,5,6,660,2,acc
11.36,3.3,3,6,371,3,vgood
29.11,3.3,4,4,554,3,acc
18.54,3.3,5,2,580,3,unacc
28.83,3.3,4,6,602,2,acc
18.54,3.3,5,6,203,1,unacc
10.7,3.3,5,2,462,1,unacc
21.04,3.31,4,6,602,3,acc
12.15,3.31,2,2,616,1,unacc
49.64,3.31,4,2,352,2,unacc
13.13,3.31,2,2,415,2,unacc
31.52,3.31,2,2,579,1,unacc
29.91,3.31,5,4,607,3,acc
12.21,3.31,2,6,178,2,unacc
29.52,3.31,3,6,246,1,unacc
11.89,3.31,2,4,610,2,acc
20.26,3.31,5,2,435,2,unacc
11.67,3.32,4,6,162,1,unacc
10.99,3.32,3,4,538,2,acc
20.33,3.32,5,6,420,1,unacc
32.15,3.32,3,2,604,3,unacc
18.9,3.32,3,6,410,3,acc
29.42,3.32,3,4,570,1,unacc
27.42,3.32,5,6,561,3,acc
29.24,3.32,5,2,385,3,unacc
49.95,3.32,3,4,202,1,unacc
11.86,3.32,3,4,586,1,unacc
12.08,3.32,2,6,402,2,acc
11.63,3.33,3,6,659,3,vgood
20.88,3.33,4,6,414,1,unacc
11.57,3.33,5,4,361,1,unacc
16.84,3.33,4,4,629,2,acc
27.95,3.33,4,6,587,1,unacc
55.45,3.33,2,4,378,1,unacc
29.48,3.33,4,4,421,2,acc
11.37,3.33,2,4,406,2,acc
12.21,3.34,3,6,412,1,unacc
29.44,3.34,2,6,182,2,unacc
29.61,3.34,5,4,423,2,acc
11.24,3.34,4,2,179,1,unacc
47.92,3.34,2,6,201,1,unacc
21.09,3.34,5,2,559,1,unacc
12.13,3.35,2,2,392,1,unacc
21.25,3.35,5,4,578,2,acc
11.77,3.35,4,4,147,3,acc
49.14,3.35,4,2,609,1,unacc
55.6,3.35,3,4,393,3,unacc
13.93,3.35,2,6,577,2,acc
22.6,3.36,4,2,396,1,unacc
21.44,3.36,2,2,638,1,unacc
44.88,3.36,3,2,374,2,unacc
10.92,3.36,5,2,188,3,unacc
30.82,3.36,3,6,572,1,unacc
28.34,3.37,5,2,564,3,unacc
10.51,3.37,2,6,400,1,unacc
53.72,3.37,4,4,352,1,unacc
28.94,3.37,4,2,397,3,unacc
20.58,3.37,5,2,222,3,unacc
18.98,3.37,2,6,596,1,unacc
20.11,3.37,2,2,212,1,unacc
20.53,3.37,2,4,464,3,acc
31.72,3.38,4,2,442,2,unacc
51.6,3.38,3,2,590,1,unacc
44.98,3.38,4,2,212,1,unacc
51.5,3.38,3,4,607,2,unacc
20.5,3.38,3,4,402,1,unacc
29.29,3.38,4,6,360,3,acc
29.12,3.38,3,6,575,2,acc
12.8,3.38,2,2,221,1,unacc
20.03,3.38,4,2,212,1,unacc
27.48,3.38,3,6,202,2,unacc
21.27,3.38,4,6,193,1,unacc
12.69,3.39,4,6,179,3,acc
54.82,3.39,5,4,231,3,unacc
21.26,3.39,2,4,629,2,acc
29.13,3.39,4,4,169,2,unacc
48.44,3.39,4,4,403,2,unacc
52.3,3.39,3,6,387,2,unacc
32.35,3.39,2,2,578,2,unacc
11.46,3.39,5,2,638,3,unacc
54.77,3.39,2,2,625,3,unacc
58,3.39,2,2,633,1,unacc
18.41,3.39,3,4,414,3,acc
28.53,3.4,2,6,582,2,acc
29.29,3.4,5,2,230,1,unacc
11.16,3.4,5,2,580,2,unacc
28.86,3.4,2,6,408,2,unacc
31.22,3.4,4,2,594,2,unacc
30.55,3.4,4,6,197,3,acc
31.45,3.4,5,4,407,3,acc
30.34,3.4,2,4,417,1,unacc
48.39,3.4,2,4,574,2,unacc
18.73,3.4,4,4,170,3,acc
15.23,3.4,4,6,393,3,acc
27.8,3.4,4,2,220,1,unacc
18.95,3.4,5,4,198,2,unacc
49.93,3.4,2,4,388,2,unacc
46.44,3.41,3,2,225,2,unacc
31.47,3.41,2,4,643,1,unacc
11.02,3.41,5,6,599,1,unacc
17.41,3.41,2,2,433,3,unacc
45.2,3.41,2,6,626,3,unacc
44.47,3.41,5,4,601,2,unacc
30.51,3.41,3,4,229,3,acc
21.26,3.42,5,4,193,3,acc
45.69,3.42,2,4,623,1,unacc
12.43,3.42,4,4,402,3,vgood
9.69,3.42,3,6,570,1,unacc
12.42,3.42,4,4,110,2,acc
50.94,3.42,2,6,323,2,unacc
19.92,3.43,4,4,412,2,acc
11.13,3.43,2,4,591,1,unacc
19.94,3.43,3,4,187,3,acc
12.11,3.44,2,2,541,3,unacc
53.2,3.44,5,6,411,3,unacc
55.39,3.44,3,4,164,3,unacc
52.98,3.44,5,2,403,1,unacc
13.95,3.44,3,6,585,2,acc
21.58,3.44,3,4,627,1,unacc
10.24,3.44,2,2,375,3,unacc
10.06,3.45,2,4,385,1,unacc
18.94,3.45,2,4,634,1,unacc
10.27,3.45,3,2,385,1,unacc
30.58,3.45,5,4,420,1,unacc
31.94,3.45,3,2,187,3,unacc
11.55,3.45,5,4,382,2,acc
12.9,3.45,5,6,223,2,acc
11.31,3.45,4,2,195,3,unacc
19.9,3.45,5,4,250,1,unacc
20.84,3.45,5,6,220,3,acc
51.91,3.46,4,6,380,1,unacc
18.81,3.46,2,2,223,2,unacc
19.87,3.46,2,4,597,3,acc
21.41,3.46,5,6,360,3,acc
55.12,3.46,4,2,398,1,unacc
31.22,3.46,3,2,265,2,unacc
51.39,3.46,4,6,393,3,unacc
12.56,3.46,5,6,625,2,acc
30.36,3.46,5,4,225,2,unacc
13,3.46,2,2,607,2,unacc
19.47,3.46,3,2,206,1,unacc
50.75,3.46,3,2,548,2,unacc
56.39,3.46,3,2,443,1,unacc
21.33,3.46,2,4,185,1,unacc
53.54,3.47,3,4,605,1,unacc
19.76,3.47,4,2,204,3,unacc
12.45,3.47,3,4,453,3,acc
20.1,3.47,4,2,401,2,unacc
58.09,3.47,5,6,585,1,unacc
11.01,3.47,4,6,353,3,vgood
19.91,3.47,3,2,199,2,unacc
14.4,3.48,3,6,209,1,unacc
31.81,3.48,3,4,166,1,unacc
28.92,3.48,5,6,201,1,unacc
17.21,3.48,5,4,640,1,unacc
29.66,3.48,2,2,449,1,unacc
18.97,3.48,3,2,337,1,unacc
46.37,3.48,5,4,197,1,unacc
29.58,3.48,2,6,618,1,unacc
21.25,3.48,3,6,614,2,acc
28.9,3.48,5,6,243,3,acc
20.12,3.49,5,2,220,2,unacc
20.74,3.49,3,4,227,2,unacc
52.3,3.49,5,4,608,3,unacc
27.76,3.49,5,6,397,3,acc
40.32,3.49,2,6,367,3,unacc
20.17,3.49,5,6,656,2,acc
20.25,3.49,3,6,385,1,unacc
17.56,3.49,3,2,560,1,unacc
12.76,3.49,2,6,553,1,unacc
57.33,3.5,4,4,544,1,unacc
29.23,3.5,3,6,178,3,acc
12.12,3.5,5,2,594,1,unacc
30.61,3.51,3,6,396,2,acc
12.56,3.51,3,6,246,3,acc
21.04,3.51,3,6,464,2,acc
50.68,3.51,3,6,128,1,unacc
19.49,3.51,2,4,212,2,unacc
32.48,3.51,2,2,374,3,unacc
48.1,3.51,5,2,429,3,unacc
55.27,3.51,2,2,597,2,unacc
20.95,3.51,5,2,453,3,unacc
11.03,3.52,4,2,174,2,unacc
13.45,3.52,4,2,403,2,unacc
29.08,3.53,5,4,199,3,acc
21.11,3.53,5,4,425,2,acc
51.52,3.53,5,6,342,2,unacc
19.33,3.53,3,6,558,3,acc
50.6,3.53,4,4,585,3,unacc
11.09,3.53,5,6,659,3,vgood
20.69,3.53,3,6,245,3,acc
52.61,3.53,2,6,573,2,unacc
28.17,3.54,4,6,236,2,unacc
50.47,3.54,2,2,241,3,unacc
18.9,3.54,5,6,395,2,acc
12.95,3.55,4,6,602,1,unacc
30.95,3.55,3,6,472,3,acc
17.34,3.55,4,6,586,1,unacc
56.92,3.55,2,2,433,2,unacc
29.78,3.55,2,6,381,1,unacc
30.42,3.55,2,4,428,3,acc
51.36,3.55,4,4,400,3,unacc
11.96,3.55,3,4,184,1,unacc
20.08,3.55,4,2,227,2,unacc
31.05,3.56,2,2,678,3,unacc
11.15,3.56,4,4,189,1,unacc
12.91,3.56,2,2,222,3,unacc
13.22,3.56,4,6,600,2,acc
12.17,3.56,4,2,601,3,unacc
12.06,3.56,3,2,417,2,unacc
49.61,3.56,4,2,171,2,unacc
19.63,3.56,5,2,399,1,unacc
20.54,3.56,2,6,217,3,unacc
50.83,3.57,3,6,444,3,unacc
30.34,3.57,2,4,199,1,unacc
11.84,3.57,5,4,573,1,unacc
12.14,3.57,5,4,215,3,acc
31.11,3.57,4,6,390,1,unacc
54.24,3.57,2,2,421,1,unacc
12.66,3.57,5,4,233,1,unacc
32.89,3.57,2,2,393,2,unacc
18.53,3.57,4,4,564,3,acc
52.11,3.57,3,6,232,3,unacc
17.9,3.58,5,6,575,1,unacc
45.46,3.58,4,2,412,3,unacc
29.18,3.58,5,2,592,1,unacc
20.18,3.58,4,6,402,2,acc
43.36,3.58,2,4,199,2,unacc
53.07,3.58,5,6,136,1,unacc
29.11,3.58,3,4,627,2,acc
46.52,3.58,2,2,410,3,unacc
29.91,3.59,2,4,375,2,unacc
18.74,3.59,5,4,655,3,acc
19.64,3.59,2,6,420,2,unacc
32.17,3.6,4,4,554,2,acc
46.85,3.6,4,6,167,3,unacc
46.21,3.6,2,4,163,1,unacc
12.83,3.6,5,2,434,2,unacc
31.48,3.6,5,2,214,2,unacc
49.93,3.6,2,2,166,1,unacc
12.98,3.6,5,2,197,2,unacc
11.06,3.61,5,6,140,3,acc
20.35,3.61,3,4,453,2,unacc
49.72,3.62,5,4,375,3,unacc
29.6,3.62,2,2,219,1,unacc
12.06,3.62,5,6,208,1,unacc
47.19,3.63,3,4,593,3,unacc
12.57,3.63,3,2,671,1,unacc
33.75,3.63,4,4,212,1,unacc
22.28,3.63,4,2,586,2,unacc
18.36,3.63,3,4,618,2,acc
32.67,3.63,3,4,177,2,unacc
30.32,3.63,3,4,451,1,unacc
50.28,3.64,2,6,559,1,unacc
11.72,3.64,3,4,413,1,unacc
28.84,3.64,5,2,180,3,unacc
11.18,3.65,4,4,613,1,unacc
29.5,3.66,2,4,204,2,unacc
12.51,3.66,3,2,415,3,unacc
17.95,3.66,2,6,596,3,acc
21.12,3.66,4,2,600,1,unacc
28.01,3.66,2,6,601,3,acc
11.65,3.66,5,4,216,2,acc
30.71,3.67,5,6,390,2,acc
11.48,3.67,4,2,430,3,unacc
31.37,3.68,2,4,602,2,acc
22.25,3.68,3,6,190,2,unacc
10.38,3.69,3,4,160,2,acc
41.25,3.69,3,2,202,3,unacc
46.48,3.69,4,4,180,2,unacc
30.14,3.69,4,4,218,3,acc
52.95,3.69,4,6,611,1,unacc
50.96,3.7,2,4,555,3,unacc
49.39,3.71,2,2,234,2,unacc
10.35,3.72,2,2,204,2,unacc
54.5,3.72,3,4,384,1,unacc
17.63,3.72,4,6,218,3,acc
21.91,3.73,2,2,543,3,unacc
11.54,3.74,5,4,619,3,vgood
27.24,3.75,5,4,608,2,acc
10.73,3.76,3,4,419,2,acc
50.58,3.78,4,4,606,2,unacc
22.25,3.78,2,2,614,2,unacc
21.34,3.8,2,2,398,2,unacc
20.52,3.8,5,2,624,2,unacc
29.75,3.8,2,6,160,1,unacc
28.56,3.8,4,4,403,1,unacc
19.95,3.81,3,4,200,1,unacc
10.97,3.81,3,2,628,2,unacc
31.72,3.83,3,4,402,2,unacc
45.39,3.83,5,2,596,2,unacc
12.3,3.84,3,2,238,1,unacc
19.06,3.88,2,2,193,3,unacc
52.6,3.89,4,2,610,3,unacc
51.49,3.89,5,2,622,3,unacc
11.72,3.9,4,4,407,1,unacc
23.36,3.9,2,6,382,1,unacc
29.83,3.91,4,2,560,1,unacc
42.73,4.24,5,4,398,1,unacc
18.99,4.53,2,6,644,3,acc
29.74,4.56,5,2,649,3,unacc
20.87,4.56,2,6,187,1,unacc
12.93,4.62,3,2,397,3,unacc
26.11,4.63,3,2,162,2,unacc
31.35,4.65,4,6,369,2,unacc
13.36,4.66,2,4,627,1,unacc
53.82,4.69,5,4,447,2,unacc
29.66,4.69,4,2,409,1,unacc
11.12,4.72,5,6,197,2,unacc
20.12,4.75,3,2,625,3,unacc
15.03,4.77,5,4,464,1,unacc
20.21,4.77,2,4,429,2,unacc
30.71,4.8,3,6,369,1,unacc
45.78,4.8,3,6,146,1,unacc
19.6,4.82,3,4,404,2,unacc
30.06,4.82,2,2,421,3,unacc
42.22,4.83,5,6,177,2,unacc
11.79,4.83,3,2,561,1,unacc
12.55,4.84,2,4,425,2,unacc
53.97,4.84,3,4,602,3,unacc
12.12,4.85,5,6,604,1,unacc
45.8,4.85,4,6,647,3,unacc
49.53,4.85,4,6,409,2,unacc
32.59,4.88,5,4,560,2,unacc
28.6,4.88,2,4,212,2,unacc
10.84,4.88,2,2,211,2,unacc
45.66,4.88,2,2,610,3,unacc
28.06,4.89,5,4,387,1,unacc
30.95,4.89,5,4,410,2,unacc
31.08,4.9,5,6,403,2,unacc
29.61,4.92,4,4,197,3,unacc
57.1,4.93,3,6,392,3,unacc
20.02,4.93,3,2,416,2,unacc
20.84,4.94,4,4,180,3,acc
29.9,4.94,4,6,242,3,unacc
52.5,4.95,5,4,232,2,unacc
47.65,4.95,4,2,570,2,unacc
11.45,4.96,5,2,179,2,unacc
19.46,4.96,4,2,206,1,unacc
12.02,4.97,5,2,182,1,unacc
12.35,4.97,2,4,230,2,unacc
13.87,4.97,2,6,391,3,acc
59.41,4.97,2,6,615,1,unacc
19.96,4.99,3,2,584,2,unacc
51.93,4.99,2,2,355,1,unacc
21.67,4.99,2,6,386,1,unacc
21.13,4.99,5,6,433,1,unacc
12.57,5,4,2,353,1,unacc
9.55,5,3,4,592,1,unacc
13.22,5,2,6,208,3,unacc
49.79,5,5,2,417,2,unacc
29.28,5.01,4,6,633,2,unacc
17.52,5.01,4,6,215,2,unacc
62.71,5.01,4,4,428,3,unacc
28.6,5.02,3,2,403,2,unacc
45.01,5.02,2,6,194,3,unacc
19.4,5.04,2,6,244,3,unacc
12.48,5.04,2,2,578,1,unacc
44.57,5.04,5,2,221,2,unacc
12.06,5.05,5,6,405,3,acc
22.67,5.05,4,2,537,3,unacc
13.01,5.05,3,4,209,2,unacc
12.83,5.06,5,2,573,3,unacc
49.92,5.06,5,6,191,3,unacc
56.43,5.06,3,2,379,3,unacc
31.18,5.07,2,2,602,3,unacc
49.44,5.07,2,4,189,1,unacc
12.49,5.08,3,6,212,1,unacc
31.26,5.08,5,4,185,3,unacc
28.7,5.08,4,6,626,3,unacc
12.56,5.08,5,6,601,2,acc
27.39,5.09,5,2,608,2,unacc
56.23,5.09,4,2,218,2,unacc
27.52,5.09,2,4,379,1,unacc
47.62,5.09,4,6,613,1,unacc
30.56,5.1,3,6,222,1,unacc
10.92,5.11,4,4,212,3,acc
20.27,5.11,4,4,388,2,acc
28.73,5.11,2,6,217,1,unacc
20.22,5.11,4,6,597,2,acc
19.88,5.11,4,2,205,3,unacc
11.66,5.12,2,4,445,1,unacc
29.32,5.12,2,6,177,2,unacc
31.56,5.13,5,6,144,3,unacc
11.67,5.14,5,4,425,1,unacc
43.19,5.14,3,4,421,2,unacc
12.56,5.14,3,6,622,3,acc
13.17,5.14,3,2,231,3,unacc
11.26,5.14,3,2,378,2,unacc
29.81,5.14,2,4,370,3,unacc
28.71,5.15,2,4,611,3,unacc
11.17,5.15,4,4,469,2,acc
23.2,5.15,2,4,459,1,unacc
20.16,5.15,5,4,206,2,unacc
20.3,5.15,2,2,597,3,unacc
11.86,5.16,2,4,572,3,acc
20.01,5.16,5,4,633,2,acc
28.65,5.16,2,6,347,3,unacc
47.95,5.16,5,6,571,2,unacc
44.71,5.17,5,2,190,1,unacc
29.46,5.17,4,6,422,1,unacc
53.96,5.17,5,2,417,3,unacc
31.52,5.17,5,2,242,2,unacc
10.95,5.17,4,2,184,1,unacc
52.64,5.18,4,2,610,3,unacc
18.34,5.18,4,6,379,1,unacc
28.56,5.18,2,4,215,3,unacc
12.88,5.19,4,6,438,3,acc
50.72,5.19,5,4,610,3,unacc
